Country,Year,Series,Value,Footnotes,Source
Algeria,2000,Current health expenditure (% of GDP),3.489,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2005,Current health expenditure (% of GDP),3.2352,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2010,Current health expenditure (% of GDP),5.1172,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2015,Current health expenditure (% of GDP),6.9785,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2000,Domestic general government health expenditure (% of total government expenditure),8.7881,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2005,Domestic general government health expenditure (% of total government expenditure),8.2694,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.5448,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.7331,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2000,Current health expenditure (% of GDP),1.9086,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2005,Current health expenditure (% of GDP),2.8522,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2010,Current health expenditure (% of GDP),2.6951,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2015,Current health expenditure (% of GDP),2.6058,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2000,Domestic general government health expenditure (% of total government expenditure),2.7386,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8206,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2496,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.5626,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2000,Current health expenditure (% of GDP),4.4807,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2005,Current health expenditure (% of GDP),4.9707,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.1871,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2015,Current health expenditure (% of GDP),4.7018,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2000,Domestic general government health expenditure (% of total government expenditure),11.0006,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.4314,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.1275,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),9.9251,Provisional data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
